CustomerID,Year,Month,MonthlyLimit,SubsidyUsed,SubsidyRestored,NetAmountUsed
C0009,2024,3,100.0,100.0,0.0,100.0
C0001,2024,3,100.0,100.0,0.0,100.0
C0009,2024,4,100.0,100.0,0.0,100.0
C0001,2024,4,100.0,43.24,0.0,43.24
C0001,2024,5,100.0,14.95,0.0,14.95
C0009,2024,5,100.0,36.03,0.0,36.03
C0001,2024,5,100.0,85.05,0.0,100.0
C0010,2024,6,100.0,14.24,0.0,14.24
C0013,2024,6,100.0,11.97,0.0,11.97
C0010,2024,7,100.0,11.97,0.0,11.97
C0010,2024,7,100.0,88.03,0.0,100.0
C0023,2024,7,100.0,100.0,0.0,100.0
C0001,2024,7,100.0,61.9,0.0,61.9
C0013,2024,7,100.0,46.92,0.0,46.92
C0010,2024,8,100.0,15.54,0.0,15.54
C0009,2024,8,100.0,34.3,0.0,34.3
C0024,2024,8,100.0,37.44,0.0,37.44
C0023,2024,8,100.0,2.98,0.0,2.98
C0009,2024,8,100.0,6.66,0.0,40.96
C0009,2024,8,100.0,55.68,0.0,96.64
C0023,2024,9,100.0,96.08,0.0,96.08
C0024,2024,9,100.0,100.0,0.0,100.0
C0010,2024,9,100.0,94.13,0.0,94.13
C0009,2024,9,100.0,91.36,0.0,91.36
C0017,2024,9,100.0,41.46,0.0,41.46
C0009,2024,9,100.0,8.64,0.0,100.0
C0033,2024,9,100.0,7.12,0.0,7.12
C0032,2024,9,100.0,34.35,0.0,34.35
C0033,2024,10,100.0,77.74,0.0,77.74
C0013,2024,10,100.0,57.69,0.0,57.69
C0024,2024,10,100.0,100.0,0.0,100.0
C0032,2024,10,100.0,11.97,0.0,11.97
C0010,2024,10,100.0,100.0,0.0,100.0
C0042,2024,10,100.0,100.0,0.0,100.0
C0001,2024,10,100.0,77.39,0.0,77.39
C0014,2024,11,100.0,18.38,0.0,18.38
C0026,2024,11,100.0,37.44,0.0,37.44
C0032,2024,11,100.0,24.02,0.0,24.02
C0046,2024,11,100.0,55.14,0.0,55.14
C0031,2024,11,100.0,40.5,0.0,40.5
C0041,2024,11,100.0,100.0,0.0,100.0
C0010,2024,11,100.0,18.45,0.0,18.45
C0046,2024,11,100.0,6.15,0.0,61.29
C0001,2024,11,100.0,100.0,0.0,100.0
C0014,2024,11,100.0,74.9,0.0,93.28
C0009,2024,11,100.0,39.43,0.0,39.43
C0024,2024,11,100.0,100.0,0.0,100.0
C0009,2024,11,100.0,33.51,0.0,72.94
C0031,2024,12,100.0,88.97,0.0,88.97
C0023,2024,12,100.0,21.64,0.0,21.64
C0036,2024,12,100.0,40.5,0.0,40.5
C0046,2024,12,100.0,15.54,0.0,15.54
C0026,2024,12,100.0,14.55,0.0,14.55
C0042,2024,12,100.0,12.3,0.0,12.3
C0010,2024,12,100.0,24.02,0.0,24.02
C0036,2024,12,100.0,59.5,0.0,100.0
C0068,2024,12,100.0,100.0,0.0,100.0
C0017,2025,1,100.0,40.57,0.0,40.57
C0026,2025,1,100.0,29.79,0.0,29.79
C0017,2025,1,100.0,43.78,0.0,84.35
C0070,2025,1,100.0,100.0,0.0,100.0
C0017,2025,1,100.0,15.65,0.0,100.0
C0036,2025,1,100.0,10.32,0.0,10.32
C0028,2025,1,100.0,100.0,0.0,100.0
C0024,2025,1,100.0,75.43,0.0,75.43
C0023,2025,1,100.0,53.16,0.0,53.16
C0023,2025,1,100.0,35.2,0.0,88.36
C0064,2025,1,100.0,100.0,0.0,100.0
C0013,2025,1,100.0,41.68,0.0,41.68
C0032,2025,2,100.0,96.48,0.0,96.48
C0038,2025,2,100.0,45.05,0.0,45.05
C0017,2025,2,100.0,6.44,0.0,6.44
C0070,2025,2,100.0,67.9,0.0,67.9
C0046,2025,2,100.0,100.0,0.0,100.0
C0026,2025,2,100.0,100.0,0.0,100.0
C0043,2025,2,100.0,100.0,0.0,100.0
C0001,2025,2,100.0,48.23,0.0,48.23
C0032,2025,2,100.0,3.52,0.0,100.0
C0010,2025,2,100.0,18.56,0.0,18.56
C0028,2025,2,100.0,100.0,0.0,100.0
C0063,2025,2,100.0,100.0,0.0,100.0
C0024,2025,2,100.0,63.82,0.0,63.82
C0041,2025,2,100.0,100.0,0.0,100.0
C0065,2025,2,100.0,100.0,0.0,100.0
C0054,2025,2,100.0,100.0,0.0,100.0
C0042,2025,2,100.0,36.87,0.0,36.87
C0010,2025,2,100.0,3.06,0.0,21.62
C0060,2025,2,100.0,43.4,0.0,43.4
C0017,2025,2,100.0,93.56,0.0,100.0
C0056,2025,2,100.0,100.0,0.0,100.0
C0056,2025,3,100.0,100.0,0.0,100.0
C0035,2025,3,100.0,41.76,0.0,41.76
C0041,2025,3,100.0,30.1,0.0,30.1
C0025,2025,3,100.0,30.1,0.0,30.1
C0064,2025,3,100.0,72.66,0.0,72.66
C0041,2025,3,100.0,39.21,0.0,69.31
C0020,2025,3,100.0,25.94,0.0,25.94
C0024,2025,3,100.0,74.44,0.0,74.44
C0024,2025,3,100.0,25.56,0.0,100.0
C0013,2025,3,100.0,79.98,0.0,79.98
C0068,2025,3,100.0,96.46,0.0,96.46
C0042,2025,3,100.0,91.41,0.0,91.41
C0020,2025,3,100.0,74.06,0.0,100.0
C0060,2025,3,100.0,17.06,0.0,17.06
C0032,2025,4,100.0,28.69,0.0,28.69
C0031,2025,4,100.0,70.35,0.0,70.35
C0062,2025,4,100.0,71.95,0.0,71.95
C0037,2025,4,100.0,100.0,0.0,100.0
C0054,2025,4,100.0,100.0,0.0,100.0
C0013,2025,4,100.0,61.04,0.0,61.04
C0042,2025,4,100.0,100.0,0.0,100.0
C0043,2025,4,100.0,19.64,0.0,19.64
C0024,2025,4,100.0,89.37,0.0,89.37
C0017,2025,4,100.0,100.0,0.0,100.0
C0003,2025,4,100.0,60.76,0.0,60.76
C0065,2025,4,100.0,70.65,0.0,70.65
C0051,2025,4,100.0,74.44,0.0,74.44
C0014,2025,4,100.0,59.58,0.0,59.58
C0023,2025,4,100.0,34.18,0.0,34.18
C0062,2025,4,100.0,28.05,0.0,100.0
C0014,2025,4,100.0,40.42,0.0,100.0
C0001,2025,4,100.0,50.73,0.0,50.73
C0075,2025,4,100.0,78.42,0.0,78.42
C0026,2025,4,100.0,100.0,0.0,100.0
C0056,2025,5,100.0,100.0,0.0,100.0
C0068,2025,5,100.0,24.22,0.0,24.22
C0042,2025,5,100.0,34.94,0.0,34.94
C0092,2025,5,100.0,16.04,0.0,16.04
C0020,2025,5,100.0,53.93,0.0,53.93
C0093,2025,5,100.0,15.48,0.0,15.48
C0026,2025,5,100.0,100.0,0.0,100.0
C0013,2025,5,100.0,39.05,0.0,39.05
C0037,2025,5,100.0,77.62,0.0,77.62
C0001,2025,5,100.0,81.17,0.0,81.17
C0001,2025,5,100.0,18.83,0.0,100.0
C0072,2025,5,100.0,7.74,0.0,7.74
C0024,2025,5,100.0,61.86,0.0,61.86
C0060,2025,5,100.0,49.48,0.0,49.48
C0036,2025,6,100.0,45.76,0.0,45.76
C0085,2025,6,100.0,100.0,0.0,100.0
C0077,2025,6,100.0,41.42,0.0,41.42
C0025,2025,6,100.0,48.23,0.0,48.23
C0092,2025,6,100.0,57.66,0.0,57.66
C0093,2025,6,100.0,39.21,0.0,39.21
C0065,2025,6,100.0,73.02,0.0,73.02
C0020,2025,6,100.0,80.93,0.0,80.93
C0046,2025,6,100.0,76.75,0.0,76.75
C0035,2025,6,100.0,51.14,0.0,51.14
C0014,2025,6,100.0,56.75,0.0,56.75
C0043,2025,6,100.0,72.0,0.0,72.0
C0023,2025,6,100.0,100.0,0.0,100.0
C0092,2025,6,100.0,42.34,0.0,100.0
C0038,2025,6,100.0,3.44,0.0,3.44
C0024,2025,6,100.0,100.0,0.0,100.0
C0050,2025,6,100.0,37.22,0.0,37.22
C0026,2025,6,100.0,100.0,0.0,100.0
C0085,2025,7,100.0,37.64,0.0,37.64
C0050,2025,7,100.0,35.34,0.0,35.34
C0056,2025,7,100.0,57.66,0.0,57.66
C0026,2025,7,100.0,100.0,0.0,100.0
C0003,2025,7,100.0,55.96,0.0,55.96
C0054,2025,7,100.0,50.2,0.0,50.2
C0051,2025,7,100.0,53.39,0.0,53.39
C0025,2025,7,100.0,22.14,0.0,22.14
C0031,2025,7,100.0,79.23,0.0,79.23
C0014,2025,7,100.0,60.48,0.0,60.48
C0072,2025,7,100.0,96.32,0.0,96.32
C0024,2025,7,100.0,100.0,0.0,100.0
C0023,2025,7,100.0,72.66,0.0,72.66
C0032,2025,7,100.0,38.54,0.0,38.54
C0084,2025,7,100.0,89.37,0.0,89.37
C0036,2025,8,100.0,100.0,0.0,100.0
C0065,2025,8,100.0,3.44,0.0,3.44
C0026,2025,8,100.0,23.24,0.0,23.24
C0095,2025,8,100.0,20.97,0.0,20.97
C0032,2025,8,100.0,100.0,0.0,100.0
C0065,2025,8,100.0,96.56,0.0,100.0
C0024,2025,8,100.0,12.29,0.0,12.29
C0041,2025,8,100.0,90.83,0.0,90.83
C0050,2025,8,100.0,51.14,0.0,51.14
C0024,2025,8,100.0,17.06,0.0,29.35
C0082,2025,8,100.0,35.47,0.0,35.47
C0092,2025,8,100.0,33.24,0.0,33.24
C0031,2025,8,100.0,57.81,0.0,57.81
C0090,2025,8,100.0,100.0,0.0,100.0
C0077,2025,8,100.0,44.23,0.0,44.23
C0046,2025,8,100.0,8.53,0.0,8.53
C0050,2025,8,100.0,48.86,0.0,100.0
C0072,2025,9,100.0,34.94,0.0,34.94
C0112,2025,9,100.0,59.58,0.0,59.58
C0089,2025,9,100.0,11.16,0.0,11.16
C0001,2025,9,100.0,100.0,0.0,100.0
C0085,2025,9,100.0,100.0,0.0,100.0
C0065,2025,9,100.0,36.96,0.0,36.96
C0089,2025,9,100.0,88.84,0.0,100.0
C0074,2025,9,100.0,8.53,0.0,8.53
C0056,2025,9,100.0,42.33,0.0,42.33
C0023,2025,9,100.0,34.77,0.0,34.77
C0023,2025,9,100.0,65.23,0.0,100.0
C0090,2025,10,100.0,22.14,0.0,22.14
C0098,2025,10,100.0,100.0,0.0,100.0
C0037,2025,10,100.0,7.38,0.0,7.38
C0019,2025,10,100.0,100.0,0.0,100.0
C0085,2025,10,100.0,47.1,0.0,47.1
C0041,2025,10,100.0,33.48,0.0,33.48
C0102,2025,10,100.0,41.38,0.0,41.38
C0028,2025,10,100.0,100.0,0.0,100.0
C0001,2025,10,100.0,45.05,0.0,45.05
C0025,2025,10,100.0,30.38,0.0,30.38
C0095,2025,10,100.0,100.0,0.0,100.0
C0023,2025,11,100.0,22.47,0.0,22.47
C0093,2025,11,100.0,100.0,0.0,100.0
C0085,2025,11,100.0,72.22,0.0,72.22
C0051,2025,11,100.0,58.98,0.0,58.98
C0053,2025,11,100.0,60.64,0.0,60.64
C0072,2025,11,100.0,8.24,0.0,8.24
C0003,2025,11,100.0,34.86,0.0,34.86
